,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
48,0,0,0,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,1,1,4,6,4,2,7,0,5,2,5,2,3,10,9,15,6,14,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,2,0,6,18,14,0,2,2,1,1,32,24,34,0,3,3,0,3,0,6,0,0,12,12,0,0,0,4,16,5,0,0,0,6,18,0,6,30,60,18,16,16,64,12,36,12,12,48,108,0,0,180
49,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,1,2,7,0,0,1,3,0,0,1,3,7,2,11,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,6,18,2,0,0,0,1,0,25,5,16,0,0,3,0,3,0,3,0,0,0,12,0,0,0,4,4,0,0,0,0,0,6,0,0,30,54,6,0,12,40,12,36,0,12,12,96,0,0,180
50,0,0,0,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,2,2,2,5,4,2,7,0,7,6,9,1,2,10,12,16,4,17,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,6,14,8,4,4,2,0,0,34,24,33,0,0,0,0,6,0,6,0,0,4,6,0,0,2,8,14,5,0,3,0,3,12,6,6,30,60,12,16,20,64,12,27,0,0,48,108,0,0,180
51,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,4,0,0,2,0,1,2,5,0,1,4,3,11,4,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,6,4,1,0,0,2,0,22,10,25,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,12,5,0,0,0,6,12,3,0,15,45,9,4,12,52,0,18,0,0,24,96,0,0,180
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,4,0,0,0,0,7,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,18,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,6,3,0,12,39,0,0,12,32,0,18,0,0,0,84,0,0,180
53,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,2,2,1,5,0,1,2,4,0,0,2,5,7,1,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,13,4,1,0,0,0,0,24,10,18,0,0,0,0,3,0,3,0,0,2,6,0,0,0,4,4,0,0,3,0,0,6,3,0,27,51,6,4,12,44,12,27,0,0,24,96,0,0,180
54,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,2,0,1,0,1,2,3,8,3,11,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,6,0,0,0,1,1,19,15,28,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,16,5,0,0,0,6,12,0,6,12,42,12,4,4,56,0,18,0,0,36,96,0,0,180
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,6,0,0,0,1,0,0,14,0,13,0,0,0,0,0,0,3,0,0,0,2,0,0,0,4,6,0,0,0,0,3,6,0,0,18,39,6,0,4,32,6,18,0,0,0,84,0,0,180
56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,1,5,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,0,0,1,0,14,4,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,6,0,0,12,36,6,0,4,36,0,18,0,0,12,84,0,0,180
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,3,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,8,0,0,0,0,1,0,15,0,10,0,0,0,0,0,0,3,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,24,42,6,0,4,28,12,18,0,0,0,84,0,0,180
